GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Rondônia;Rural;Total;27,7;0,0;64,7;0,0;7,6;66,7;0,0;33,3;0,0;0,0
Rondônia;Total;Federal;34,0;0,4;47,9;2,1;7,8;93,3;0,0;0,0;0,0;6,7
Rondônia;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;93,3;0,0;0,0;0,0;6,7
Rondônia;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Rondônia;Total;Estadual;43,5;0,6;51,9;1,5;2,5;54,3;0,6;42,3;2,1;0,7
Rondônia;Urbana;Estadual;45,9;0,7;50,0;1,7;1,7;54,1;0,6;42,4;2,2;0,7
Rondônia;Rural;Estadual;21,1;0,0;69,0;0,0;9,9;66,7;0,0;33,3;0,0;0,0
Rondônia;Total;Municipal;29,8;0,5;68,8;0,2;0,7;33,3;0,0;66,7;0,0;0,0
Rondônia;Urbana;Municipal;28,2;0,5;70,2;0,2;0,9;33,3;0,0;66,7;0,0;0,0
Rondônia;Rural;Municipal;49,2;0,0;50,8;0,0;0,0;54,45;0,8;36,0;2,3;2,2
Rondônia;Total;Privada;11,5;0,0;85,8;1,0;1,7;13,3;0,0;80,0;6,7;0,0
Rondônia;Urbana;Privada;11,5;0,0;85,8;1,0;1,7;13,3;0,0;80,0;6,7;0,0
Rondônia;Rural;Privada;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Rondônia;Total;Pública;39,6;0,6;56,7;1,1;2,0;54,4;0,6;42,2;2,1;0,7
Rondônia;Urbana;Pública;40,7;0,6;55,9;1,3;1,5;54,2;0,6;42,3;2,2;0,7
Rondônia;Rural;Pública;27,7;0,0;64,7;0,0;7,6;66,7;0,0;33,3;0,0;0,0
Acre;Total;Total;13,4;0,3;55,8;1,8;28,7;31,4;0,3;64,1;0,6;3,6
Acre;Urbana;Total;24,6;0,6;68,6;2,7;3,5;37,7;0,4;59,2;0,8;1,9
Acre;Rural;Total;3,9;0,1;45,0;1,1;49,9;12,5;0,0;79,0;0,0;8,5
Acre;Total;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Acre;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Acre;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Acre;Total;Estadual;24,2;0,5;64,8;2,3;8,2;31,1;0,3;64,3;0,6;3,7
Acre;Urbana;Estadual;33,4;0,6;61,5;2,4;2,1;37,6;0,4;59,1;0,8;2,1
Acre;Rural;Estadual;9,5;0,4;69,9;2,1;18,1;12,5;0,0;79,0;0,0;8,5
Acre;Total;Municipal;2,8;0,2;46,6;1,1;49,3;54,45;0,8;36,0;2,3;2,2
Acre;Urbana;Municipal;7,8;0,6;85,3;2,5;3,8;54,45;0,8;36,0;2,3;2,2
Acre;Rural;Municipal;0,9;0,0;31,5;0,6;67,0;54,45;0,8;36,0;2,3;2,2
Acre;Total;Privada;7,2;0,0;61,4;7,2;24,2;38,7;0,0;61,3;0,0;0,0
Acre;Urbana;Privada;7,2;0,0;61,4;7,2;24,2;38,7;0,0;61,3;0,0;0,0
Acre;Total;Pública;13,5;0,3;55,7;1,7;28,8;31,1;0,3;64,3;0,6;3,7
Acre;Urbana;Pública;25,4;0,6;69,0;2,4;2,6;37,6;0,4;59,1;0,8;2,1
Acre;Rural;Pública;3,9;0,1;45,0;1,1;49,9;12,5;0,0;79,0;0,0;8,5
Amazonas;Total;Total;18,6;0,1;49,0;6,8;25,5;49,4;0,2;41,7;8,0;0,7
Amazonas;Urbana;Total;29,7;0,1;56,4;10,0;3,8;52,8;0,2;39,2;7,4;0,4
Amazonas;Rural;Total;6,3;0,1;40,8;3,3;49,5;13,9;0,0;67,4;14,3;4,4
Amazonas;Total;Federal;34,0;0,4;47,9;2,1;7,8;88,6;5,1;4,4;1,9;0,0
Amazonas;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;88,6;5,1;4,4;1,9;0,0
Amazonas;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Amazonas;Total;Estadual;31,6;0,0;53,3;13,6;1,5;48,9;0,1;42,4;8,3;0,3
Amazonas;Urbana;Estadual;32,6;0,0;53,6;12,2;1,6;52,3;0,1;39,8;7,7;0,1
Amazonas;Rural;Estadual;12,8;0,0;46,2;38,5;2,5;14,3;0,0;69,1;14,2;2,4
Amazonas;Total;Municipal;16,7;0,1;47,6;6,0;29,6;5,6;0,0;42,3;18,3;33,8
Amazonas;Urbana;Municipal;29,7;0,2;56,4;9,8;3,9;8,3;0,0;54,2;18,8;18,7
Amazonas;Rural;Municipal;6,1;0,1;40,4;2,9;50,5;0,0;0,0;17,4;17,4;65,2
Amazonas;Total;Privada;17,0;0,0;72,3;1,5;9,2;53,6;0,0;41,5;0,0;4,9
Amazonas;Urbana;Privada;16,9;0,0;70,7;1,8;10,6;53,6;0,0;41,5;0,0;4,9
Amazonas;Rural;Privada;18,1;0,0;81,9;0,0;0,0;54,45;0,8;36,0;2,3;2,2
Amazonas;Total;Pública;18,7;0,1;48,3;7,0;25,9;49,3;0,2;41,7;8,2;0,6
Amazonas;Urbana;Pública;30,4;0,1;55,7;10,4;3,4;52,7;0,2;39,1;7,6;0,4
Amazonas;Rural;Pública;6,2;0,1;40,5;3,3;49,9;13,9;0,0;67,4;14,3;4,4
Roraima;Total;Total;42,9;0,2;49,5;2,5;4,9;56,7;0,1;30,6;5,0;7,6
Roraima;Urbana;Total;47,4;0,0;49,7;1,2;1,7;67,9;0,1;26,9;2,6;2,5
Roraima;Rural;Total;36,1;0,6;49,3;4,4;9,6;37,6;0,2;37,1;9,1;16,0
Roraima;Total;Federal;34,0;0,4;47,9;2,1;7,8;78,6;7,1;14,3;0,0;0,0
Roraima;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;78,6;7,1;14,3;0,0;0,0
Roraima;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
